init_state,Value
o   xx o ,1
o   xxxo ,1
xxo   o x,-1
xxo o o x,-1
xo o   x ,1
xoxo   x ,0
x o x    ,0
x o x   o,0
oo  x x x,-1
oo  xox x,1
 x       ,0
 x o     ,1
xo  xxo  ,1
xo  xxoo ,1
 xxo     ,-1
xo     ox,1
xox    ox,-1
 x  x o  ,0
 xo x o  ,1
   xx oox,1
o  xx oox,1
oxoxxo  x,0
oxoxxoo x,1
   x ox o,1
   xxox o,-1
xo oo  xx,1
xo oo xxx,1
 o x ox  ,1
  oxx  o ,1
x oxx  o ,1
 xo x x o,-1
xo   xoox,1
xox  xoox,1
 o oxo xx,1
xo oxo xx,1
oxox o  x,1
oxox o xx,1
 x  x oo ,0
xx oo  ox,1
 x    oox,1
xx    oox,1
x     x o,1
x    ox o,1
ox xx   o,1
oxoxx   o,1
x oo x x ,0
x ooox x ,0
 xo o x  ,0
 xo o xx ,-1
 x  oo xx,-1
 x   ox o,1
 xx  ox o,1
 o oxx xo,0
 oxoxx xo,0
xoxoxx o ,1
xoxoxxoo ,1
 oxx xo o,1
 oxxxxo o,1
 oxxx   o,1
 oxxx o o,1
o oxxo x ,1
o oxxo xx,-1
 xx ox oo,1
xxx ox oo,1
 oo  xxx ,-1
 oo oxxx ,1
   x xxoo,1
   xoxxoo,1
 o   ox x,1
 ox  ox x,1
x   o xxo,0
x o   xxo,-1
x oo  xxo,0
o    xx o,1
o  x xx o,-1
ox   xxo ,0
ox   xxoo,1
  ox ooxx,1
 xxoo  xo,1
 xxoo xxo,-1
o ox x x ,-1
o oxox x ,-1
oxxxo ox ,-1
x o o  x ,1
x oxo  x ,-1
 x ox    ,1
 o   xoxx,-1
oo   xoxx,1
oxxx oxo ,0
oxxx oxoo,1
xx     o ,0
   xx  oo,1
 x xx  oo,-1
x   ox xo,0
x o ox xo,0
xooo xx  ,1
xooo xxx ,0
o  xooxx ,1
o  xooxxx,1
xx ooxxoo,1
xxxooxxoo,1
   xo xox,-1
o  xo xox,0
xo  xox o,1
oxo ox x ,-1
   o xx o,0
   oxxx o,0
o xx o x ,0
